name,link,compensation,min,max,currency
Разработчик PYTHON,https://hh.ru/vacancy/46413968?from=vacancy_search_result&query=python,от 120000 руб.,120000,,руб.
Python разработчик (Middle/Senior),https://hh.ru/vacancy/46543201?from=vacancy_search_result&query=python,,,,
Senior Python Developer,https://hh.ru/vacancy/46439735?from=vacancy_search_result&query=python,3000 – 5000 USD,3000,5000,USD
Backend Python Developer продукт Video Analytics (MTS AI),https://hh.ru/vacancy/45971020?from=vacancy_search_result&query=python,,,,
"Программист C/C++/Python, сетевой стек OPENWRT/Linux (частичная занятость)",https://hh.ru/vacancy/45672749?from=vacancy_search_result&query=python,50000 – 120000 руб.,50000,120000,руб.
"Python/С++ developer (IoT, Embedded)",https://hh.ru/vacancy/46548610?from=vacancy_search_result&query=python,,,,
Программист Python (Middle),https://hh.ru/vacancy/46205242?from=vacancy_search_result&query=python,100000 – 160000 руб.,100000,160000,руб.
Data scientist,https://hh.ru/vacancy/46551380?from=vacancy_search_result&query=python,,,,
Программист-математик/Алгоритмист (США),https://hh.ru/vacancy/46395501?from=vacancy_search_result&query=python,до 7000 USD,,7000,USD
Старший менеджер по маркетинговому анализу,https://hh.ru/vacancy/46208373?from=vacancy_search_result&query=python,,,,
QA Engineer,https://hh.ru/vacancy/46551347?from=vacancy_search_result&query=python,от 260000 руб.,260000,,руб.
Senior QA Automation Engineer,https://hh.ru/vacancy/45114143?from=vacancy_search_result&query=python,200000 – 250000 руб.,200000,250000,руб.
Reinforcement Learning Engineer в Лабораторию Робототехники,https://hh.ru/vacancy/46575164?from=vacancy_search_result&query=python,,,,
Эксперт по кибербезопасности,https://hh.ru/vacancy/45929572?from=vacancy_search_result&query=python,,,,
Разработчик сетевого программного обеспечения (удаленно),https://hh.ru/vacancy/44789573?from=vacancy_search_result&query=python,,,,
Web-программист (удаленно),https://hh.ru/vacancy/46427913?from=vacancy_search_result&query=python,от 30000 руб.,30000,,руб.
Специалист по реагированию на инциденты информационной безопасности (Incident Response),https://hh.ru/vacancy/46596546?from=vacancy_search_result&query=python,,,,
Старший специалист по аналитике и отчетности,https://hh.ru/vacancy/45403971?from=vacancy_search_result&query=python,,,,
Руководитель IT разработки / Backend Team lead,https://hh.ru/vacancy/45621398?from=vacancy_search_result&query=python,,,,
ИТ-аудитор,https://hh.ru/vacancy/45794304?from=vacancy_search_result&query=python,,,,
Инженер Сопровождения Платформы ГосТех,https://hh.ru/vacancy/46108922?from=vacancy_search_result&query=python,,,,
Middle/Senior Frontend Developer,https://hh.ru/vacancy/43978596?from=vacancy_search_result&query=python,от 250000 руб.,250000,,руб.
Системный администратор,https://hh.ru/vacancy/46330543?from=vacancy_search_result&query=python,100000 – 100000 руб.,100000,100000,руб.
Аналитик Junior+/Middle,https://hh.ru/vacancy/46442114?from=vacancy_search_result&query=python,,,,
"Product Analyst (Junior/Middle), Москва",https://hh.ru/vacancy/45762386?from=vacancy_search_result&query=python,,,,
Младший специалист по анализу вредоносных программ,https://hh.ru/vacancy/46594693?from=vacancy_search_result&query=python,,,,
Middle/Senior Android Developer в Feature team,https://hh.ru/vacancy/44725656?from=vacancy_search_result&query=python,,,,
Разработчик Ruby,https://hh.ru/vacancy/46576139?from=vacancy_search_result&query=python,,,,
Системный администратор / иженер,https://hh.ru/vacancy/46593266?from=vacancy_search_result&query=python,до 150000 руб.,,150000,руб.
Back-end Developer (Node/Java/Python),https://hh.ru/vacancy/46222999?from=vacancy_search_result&query=python,,,,
Junior Python Developer,https://hh.ru/vacancy/46629994?from=vacancy_search_result&query=python,,,,
Backend разработчик на Python / Java в Яндекс. Диск,https://hh.ru/vacancy/46606188?from=vacancy_search_result&query=python,,,,
Python developer / data engineer (Jun->Mid),https://hh.ru/vacancy/46392030?from=vacancy_search_result&query=python,120000 – 150000 руб.,120000,150000,руб.
Программист Python,https://hh.ru/vacancy/46314108?from=vacancy_search_result&query=python,до 350000 руб.,,350000,руб.
Senior Data Scientist,https://hh.ru/vacancy/46552746?from=vacancy_search_result&query=python,от 2800 USD,2800,,USD
Data-scientist,https://hh.ru/vacancy/44653300?from=vacancy_search_result&query=python,,,,
Python разработчик,https://hh.ru/vacancy/46314277?from=vacancy_search_result&query=python,от 250000 руб.,250000,,руб.
Разработчик Python,https://hh.ru/vacancy/46100136?from=vacancy_search_result&query=python,130000 – 200000 руб.,130000,200000,руб.
Middle QA Automation Engineer (Python),https://hh.ru/vacancy/43394113?from=vacancy_search_result&query=python,180000 – 250000 руб.,180000,250000,руб.
Системный программист C/C++ - Python,https://hh.ru/vacancy/45728641?from=vacancy_search_result&query=python,200000 – 300000 руб.,200000,300000,руб.
